ID,PREDICTED_CLUSTER,GROUND_TRUTH_CLUSTER,REFERENCE
B977988,B898188,61,LAVERNE L DELAY 3708 BECONTREE PXLACE OVIEDO FL 32765 407 230 2603
B898188,B898188,61,LAVERNE L DELINOIS 5324 S SALFORD BOULV NORTH PORT FL 3428 941 465 5262
B980586,B898188,61,LAVERNE L DELINOIS 1439 SARA CT ALLEN TX 75002 972 412 0632
B965369,B898188,61,LAVERNE L DELINOIS 17370 ST HWY 31 E BROWNSBORO LTX 75756 903 722 1856
B956565,B898188,61,VERNA L DELINOIS 3708 BECONTREE PL OVIEDO FL 32765 407 230 2603
B945890,B898188,61,VERNA L D 3708 BECONTREE PL OVIEDO FLA 32765 407 230 2603
B941350,B898188,61,LAVERNE L DELINOIS 1439 SARA CT XALLEN TEXAS 75002 972 412 0632
B935644,B898188,61,LAVERNE L DELINOIS 10915 N BOULEVARD TAMPA FL 33612 813 681 8543
B899549,B898188,61,L DELINOIS 1439 SARA CT AVEN TEXAS 75002 972 412 0632
B898198,B898198,1,BARBIE CHAVZE 11881 GULF POINTE DRIVE APT E38 HOUSTON TEXAS 77089 713 165 7474
B898224,B898224,158,ARMANDO G P 719 N EUCADLYPTUS AVE APARTMENT 7C INGLEWOOD CA 90302 310 473 7832
B943920,B898247,135,PHILIP E JACUQES 6121 VERDUN AVE LOS ANGELES CALI 90043 818 507 7231
B967590,B898247,135,E JACQUES 8686 HILLXERY DR SAN DIEGO CA 92126 619 382 4435
B998421,B898247,135,PHILIP E JACQUES 1331 W 88TH STR LOSANGELES CALIFORNIA 90044 818 782 5355
B982415,B898247,135,PHILIP E JACQUES 21022 LOS ALISOS BLVD APT 726 RANCHO SANTA MARGARITA CALIFORNIA 92688 949 248 3517
B978651,B898247,135,PHILIP E JACQUES 2808 FOOTHILL DRV VISTA CA 92084 760 704 6103
B928765,B898247,135,PHILIP E JACQUES 1331 W 88TH ST LOS ANGELES CALI 90044 818 782 5355
B898247,B898247,135,PHILIP E JACQUES 12811 DUNTON DR WHITTIER CA 90602 562 670 2132
B924763,B898247,135,PHILIP E JACQUES 6121 S VERDUN AVE LOS ANGELES CA 90043 818 507 7231
B906477,B898247,135,PHILIP E JACQUES 21022 LOS ALISOS BLVD APT726 RANCHO SANTA MARGARITA CA 92688 949 248 3517
B906222,B898247,135,PHILIP E JAQCUES 21022 LOS ALISOS BLVD APT 726 RANCHO SANTA MARGARITA CALI 92688 949 248 3517
B967753,B898247,135,PHILIP E JACQUES 6121 SOUGTH VERDUN AVEN LOS ANGELES CA 90043 818 507 7231
B943757,B898282,188,DIANA E HORTON 15104 SOIUTH WILLIAMS AVEN COMPTON CA 90221 424 601 5861
B916423,B898282,188,DIANA E HORTON 715 PINO WAY SALINAS CA 93905 831 581 4548
