ID,TRUE_CLUSTER_ID,COMPUTED_CLUSTER_ID,ENTROPY,REFERENCE
B898198,1,3,0.6931471805599453,BARBIE CHAVZE 11881 GULF POINTE DRIVE APT E38 HOUSTON TEXAS 77089 713 165 7474
B904140,1,3,0.6931471805599453,BARBY CHAVEZ 11881 GULF POINTE DR APT E38 HOUSTON TX 77089 713 165 7474
B964429,1,3,0.6931471805599453,BARBARA CHAVEZ 11881 SGULF POINTE DRIVE APT E38 HOUSTON TX 77089 713 165 7474
B979860,1,58,0.6931471805599453,B CHAVEZ 9247 TOBIAS AVE PANORAMA CITY CA 91402 818 116 6458
B982054,1,145,0.6931471805599453,CHAVEZ 543301 BUZON GRAND PRAIRIE TX 75054 972 831 3281
B925935,1,250,0.6931471805599453,BARBAAR MYERS CHRISTIAN 3536 N BERLINAVE FRESNO CA 93722 559 304 7567
B992255,2,58,1.6094379124341005,CLYDE M MYERS CHRISTIAN 9247 TOBIAS AVE PANORAMA CITY CA 91402 818 116 6458
B912453,2,59,1.6094379124341005,CLYDE M MYERS CHRISTIAN 2555 CALL BOX DEOWNEY CALIFORNIA 90242 562 240 8084
B942977,2,59,1.6094379124341005,CLYDE M MYERS CHRISTIAN 2943 N COTTONWOOD ST UNIT 3 ORANGE CA 92865 714 726 3554
B899683,2,59,1.6094379124341005,CLYDE M MYERS CHRISTIAN 1841 MICHIGAN STRT COLTON CBA 92324 909 533 4037
B978470,2,59,1.6094379124341005,M MYERS CHRISTIAN 2943 N COTTONWOOD ST UNIT 3 ORANGE CA 92865 714 726 3554
B905139,3,22,1.0986122886681096,VILLA 8242 CALLER ANIAHEIM CA 92812 714 304 7805
B972710,3,105,1.0986122886681096,MARCELA VILLA 333 W GARVEY AVEN B161 MONTERY PARK CALI 91754 626 536 6502
B982420,3,105,1.0986122886681096,MARCELA VILLA 18725 E LINFIELD ST AZUSA CALIFORNIA 91702 626 551 6636
B930226,3,105,1.0986122886681096,PEREZ 18725 E LINFIELD ST AZUSA CA 91702 626 551 6636
B983676,3,105,1.0986122886681096,MARCELA VILLA 18725 E LINFIELD ST AZZUSA CALIF 91702 626 551 6636
B931661,3,105,1.0986122886681096,MARECLA VILLA 12840 SANTA LUCIA RD ATASCADERO CA 93422 805 836 0237
B969191,3,106,1.0986122886681096,MARCELA VILLA 4265 NORTH CORDOBA ST SPRING JVALLEY CA 91977 619 687 4538
B957756,4,106,0.6931471805599453,LUIS PEREZ 4265 N CORDOBA ST SPRING VALLEY CA 91977V 619 155 5285
B902669,4,106,0.6931471805599453,LUIS PEREZ 4265 N CORDOBA ST SPRING VALLEY CA 91977 619 155 5285
B905885,4,163,0.6931471805599453,PEREZ 742 LIMESTONE AVE LATHROP CALIF 95330 209 180 5121
B980413,4,163,0.6931471805599453,LIUS PEREZ 742 LIMESTONE AVNUE LATHROP CALI 95330 209 180 5121
B988137,5,92,1.0986122886681096,R M HENRY 41 FREMONT TURN PALM COAST FLORIDA 32137 386 284 7387
B989879,5,92,1.0986122886681096,DEEN M HENRY 231 W TARRINGTON DR DELAND FL 32724 386 427 6716
B986758,5,287,1.0986122886681096,RENE M HENRY 2869 EL MONTE WAY SAN JOSE CA 5127 408 280 4225
B923092,5,287,1.0986122886681096,RENE M HENRY 11 BURLWOODCOURT PITTSBURG CA 94565 925 417 0743
B975951,5,287,1.0986122886681096,ERNE M HENRY 11 BURLWOOD CT PITTSBURG CALIFORNIA 94565 925 417 0743
B985187,5,287,1.0986122886681096,RENE M HENRY 11 BURLWOUOD CT PITTSBURG CALIFORNIA 94565 925 417 0743
B901812,6,92,0.6931471805599453,R REYES 41 FREMONT TURN PALM COAST FLA L 32137 386 284 7387
B902989,6,93,0.6931471805599453,LCINTON R REYES 4781 CLAIRE DR OCEANIDE CA 92057 760 676 1570
B909390,6,93,0.6931471805599453,CLINTON R REYES 4781 CLAIRE DR OCEANSIDE CALIF 92057 760 676 1570
B906813,6,94,0.6931471805599453,C R REYES 19011 DIABLO RD MADERA CA 93638 559 351 4557
B951905,6,94,0.6931471805599453,CLINTON R REYES 19011 DIABLO RD MADERA CA 93638 559 351 4557
B919902,7,275,0.6931471805599453,DIANNE J TURCOTTE 13889 DOVE CANYON WAY RANCHO CUCAMONGA CA 91739 909 238 7834
B931803,8,296,1.0986122886681096,BARRY DUNCAN CROOK 1342 W 35TH ST LOS ANGELES CALI 90007 818 285 5136
B976102,9,270,1.0986122886681096,GALDYS S BARAONA 55582 APARTADO HAYWARD CA 94545 530 334 6678
B919327,9,270,1.0986122886681096,GLADYS S BARAONA 860 42D ST OAKLAND CA 94608 530 335 6810
B984592,9,270,1.0986122886681096,S BARAONA 1598 E EVERGLADE AVE FRESNO CALIF 93720G 559 627 8164
B978142,10,218,0.6931471805599453,MICHAEL DANIELS 1111 SHAWNEE ST HOUSTON TX 77034 713 612 8525
B938731,10,316,0.6931471805599453,MICHAEL DAINELS 9426 NW 2ND PL MIAMI SHORES FL 3150 305 700 6470
B941773,10,316,0.6931471805599453,MICHAEL DANIELS 9426 NW 2ND PL MIAMI SHORES FL 33150 305 700 6470
B994159,10,316,0.6931471805599453,MICHAEL DANIELS 9426 W 2ND PL MIAMISHORES FLA 33150 305 700 6470
B952515,10,317,0.6931471805599453,MICHAEL DANIELS 1513 BUZON SEBRING FLA 33871 863 574 1607
B981997,10,317,0.6931471805599453,MICHAEL DANIELS 2728 POST OFFICE LAKELAND FL 3386 863 755 8552
B948493,11,66,1.3862943611198906,T A VENTURA 14955 AVENIDA VENUSTO UNIT 3 SAN DIEGO CALI 92128 619 482 7116
B917991,11,147,1.3862943611198906,TERESITA A VENTURA 7021 WESTBURY DRIV AMARILLO TX 79109 806 261 7751
B993674,11,147,1.3862943611198906,TERESITA A RYO 7021 WESTBURY DR AMARILLO TEXAS 79109 806 261 7751
B956670,11,148,1.3862943611198906,TERESITA A VENTURA 27096 BOX EL PASOTX 79926 915 854 8761
B907266,11,149,1.3862943611198906,TERESITA A VENTURA 228 ROYAL COACH AVE POMONA CALI 91767 909 308 1583
B912004,11,149,1.3862943611198906,TERESIAT A VENTURA 7037 CONEJO DR SAN BERNARDINO CALIFORNIA 9240T4 909 217 4076
B948605,12,148,1.0986122886681096,BRYANT C ROY 27096 BOX EL PASO TEXAS 79926 915 854 8761
B905217,12,150,1.0986122886681096,BRYANT C ROY 43 WARREN DR APT Z139 LITTLE ROCK ARKAN 72209 501 615 1102
B973372,12,150,1.0986122886681096,BRIAN C R 43 VWARREN DR APT 139 LITTLE ROCK AR 72209 501 615 1102
B981822,12,150,1.0986122886681096,BRYANT C ROY 43 WARREN DRV APT 139 LITTLE ROCK AR 72209 501 615 1102
B984526,12,150,1.0986122886681096,C ROY 2507 S J ST ROGERSARKANSAS 72758 479 708 7528
B977701,12,151,1.0986122886681096,BRIAN C ROY 7021 WESTBURY DR AMARILLO TX 79109 806 261 7751
B983550,12,151,1.0986122886681096,BRIANA C RYO 7021 WESTBURY DR AMARILLO TX 79109 806 261 7751
B932045,14,103,1.6094379124341005,KHANTONG A RAMIREZ 881605 POST BOX LOS ANGELES CA 90009 818 438 8862
B927642,14,307,1.6094379124341005,KHANTONG A ARMIREZ 22150 STAGG STR CANOGA PARK CALI 91304 818 375 1708
B980947,14,307,1.6094379124341005,KHANTONG A RAMIREZ 22150 STGG ST CANOGA PARK CA 91304 818 375 1708
B987034,14,307,1.6094379124341005,KHANTONG A RAMIREZ 6459 APTDO FULLERTON CA 92834 714 554 1066
B978280,15,26,0.6931471805599453,D A BONSAL 661 SALEM STR APT 10 GLENDALE CA 91203 818 357 2076
B940369,15,296,0.6931471805599453,DAYLE A BONSAL 3937 GIBRIALTAR AVE APARTMNT 8 LOS ANGELES CA 90008 818 813 0288
B924749,15,296,0.6931471805599453,DAYLE A BONSAL 3937 GIBRAILTAR AV APARTMENT 8 LS ANGELES CALIFORNIA 90008 818 813 0288
B934564,15,296,0.6931471805599453,DAYLE A BONSAL 3937 GIBRALTAR AVN APT 8 LOS ANGELES CALIFORNIA 90008 818 813 0288
B991983,16,152,0.6931471805599453,PATIRCIA TENISON 4338 AGNES AVE LYNWOOD CA 90262 310 506 8474
B966117,16,152,0.6931471805599453,PATRICIA TENISON 4338 AGNE AVN LYNWOOD CALIF 90262 310 506 8474
B990484,16,153,0.6931471805599453,PATRICIA TENISON 330698 APARTADO PACOIMA CALIFORNIA 1333 818 342 2605
B932455,16,153,0.6931471805599453,PATRICIA TENSION 820 W LINCOLNWY 82 GALT CALIF 95632 209 515 4865
B905339,16,153,0.6931471805599453,PATRICIA TENIOSN 820 W LINCOLN WAY 8G2 YGALT CA 95632 209 515 4865
B907111,16,153,0.6931471805599453,TRIXIE TENISON 820 W LINCOLN WAY 8 GALT CA 95632 209 515 4865
B938534,16,191,0.6931471805599453,P TENISON 613 CAPITOL ST VALLEJO CA 94590 707 600 2868
B970825,17,190,0.6931471805599453,DONALD H 426 MOORELAND ST EL PASO TX 79907 915 501 2234
B987440,17,190,0.6931471805599453,DONALD HUNTER 426 MOORLAND ST EL PASO TX 79907 915 501 2234
B942574,17,190,0.6931471805599453,HUNTER 426 MOORELAND ST EL PASO TEXAS 79907 915 501 2234
B987733,17,191,0.6931471805599453,DONALD HUNTER 613 CAPITL STRT VALLEJO CA 94590 707 600 2868
B908781,17,191,0.6931471805599453,DONALD HUNTER 613 CAPITOL STREET 61 VSALLEJO CA 94590 707 600 2868
B958300,17,191,0.6931471805599453,DONALD HUNTER 613 CAPITO ST VALLEJO CA 94590 707 600 2868
B899373,18,39,1.0986122886681096,R E TARGOWSKI 582052 POST OFFICE BOX MODESTO CA 95358 209 584 5507
B936756,18,41,1.0986122886681096,ROSALIA E TARGXOWSKI 7308 DE SOTO AVN APARTMENT 18 CANOGA PARK CALI 91303 818 651 2130
B928299,18,41,1.0986122886681096,ROSALIA E TAROGWSKI 7308 DE SOTO AVENUE APT 18 CANOGA PARK CALIFORNIA 9303 818 651 2130
B905099,18,41,1.0986122886681096,RSOALIA E TARGOWSKI 7308 DE SOTO AVE APT18 CANOGYA PARK CALIF 91303 818 651 2130
B982529,18,42,1.0986122886681096,ROSLAIA E TARGOWSKI 637 ALAMO CT OAKDALE CA 95361 209 145 3086
B959883,18,42,1.0986122886681096,ROSALIA E TARGOWSKI 637 AAMO CT OADALE CA 95361 209 145 3086
B965547,18,42,1.0986122886681096,ROSALIA E TARGOWSIK 637 ALAMO CLT OAKDALE CA 95361 209 145 3086
B992281,19,203,1.0986122886681096,MARK A GONZALES 1900 POST RD APARTMENT 19Y5 MELBOURNE FLORIDA 32935 321 255 7178
B998016,19,203,1.0986122886681096,MARK A GONZALES 1900 POST RD APARTMENT 195 MKELBOURNE FLORIDA 32935 321 255 7178
B961161,19,203,1.0986122886681096,MARK A GONZAELS 1900 POST RD APT 195 MEBOURNE FL 32935 321 255 7178
